Bureau of Justice Statistics,,,,,,,,,
Filename: cv14at05,,,,,,,,,
"Appendix table 5.Standard errors for table 4: Number of victims and prevalence rate, by type of violent crime, 2005, 2013, and 2014",,,,,,,,,
"Report title: Criminal Victimization, 2014 NCJ 248973",,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2014",,,,,,,,,
Authors: Jennifer L. Truman and Lynn Langton,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of release: 8/27/2015,,,,,,,,,
,,,,,,,,,
"Appendix table 5.Standard errors for table 4: Number of victims and prevalence rate, by type of violent crime, 2005, 2013, and 2014",,,,,,,,,
,,,Number of persons victimized,,,,Prevalence rate,,
Type of  crime,,,2005,2013,2014,,2005,2013,2014
Violent crime,,,"148,707","108,609","112,101",,0,0.04,0
,Rape/sexual assault,,"19,775","22,303","19,745",,0,0.008,0.007
,Robbery,,"39,078","29,812","42,962",,0,0.011,0.016
,Assault,,"136,197","101,859","104,061",,0,0.038,0.038
,,Aggravated assault,"54,450","42,550","47,323",,0.022,0.016,0.017
,,Simple assault,"121,619","87,665","90,454",,0.044,0.033,0.034
,Domestic violence,,"45,200","38,908","46,899",,0.018,0.014,0.018
,,Intimate partner violence,"37,867","32,601","31,777",,0.015,0.012,0.012
,Stranger violence,,"83,427","67,165","63,072",,0.031,0.025,0.024
,Violent crime involving injury,,"64,721","52,850","52,780",,0.025,0.02,0.02
Serious violent crime,,,"69,577","56,271","66,094",,0,0.021,0.025
,Serious domestic violence,,"23,651","24,777","30,045",,0.01,0.009,0.011
,,Serious intimate partner violence,"18,220","21,793","19,438",,0.007,0.008,0.007
,Serious stranger violence,,"50,879","39,025","43,792",,0.02,0.015,0.017
,Serious violent crime involving weapons,,"61,586","46,741","53,511",,0.025,0.018,0.02
,Serious violent crime involving injury,,"37,921","36,693","36,633",,0.016,0.014,0.014
Property crime,,,"317,178","228,264","230,653",,0.217,0.158,0.162
,Burglary,,"105,981","95,066","84,021",,0.087,0.073,0.065
,Motor vehicle theft,,"43,402","41,791","33,095",,0.037,0.033,0.026
,Theft,,"270,963","196,644","205,728",,0.189,0.139,0.144
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2005, 2013, and 2014.",,,,,,,,,
